subjID,wave,date,ph1,sm1_1,sm1_5,sm1_9,ax1_1,ax1_2,ax1_3,ax1_4,ax1_5,ax1_6,ax1_7,ax1_8,ax1_9,ax1_10,bf1,bf2,bf3_1,bf3_3,bf3_4,bf3_5,bf3_6,bf4,bf5,pm2,pm3,pm3a,pm4,pm5,pm7,pm7b,pm10_1,pm10_2,pm10_3,pm10_5,pm10_6,sex,age_gp,edu,wtageSG1
61,1,20090429,1,2,2,2,3,3,4,3,3,1,1,1,1,1,2,2,1,1,1,1,2,5,2,1,1,NA,1,3,4,NA,NA,NA,NA,NA,NA,2,2,7,1.439584917
62,1,20090429,2,2,2,2,2,1,2,2,2,2,1,1,1,2,NA,3,1,1,1,2,2,4,2,2,2,NA,1,4,2,NA,NA,NA,NA,NA,NA,2,3,5,1.021277087
63,1,20090429,3,2,2,2,1,4,4,4,1,1,1,1,1,1,4,1,1,2,2,1,2,1,3,4,2,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,4,4,1.286363716
64,1,20090429,1,2,2,2,2,2,2,2,2,1,1,1,2,2,4,2,1,1,1,NA,1,1,3,1,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,1,2,7,1.481328174
65,1,20090429,2,2,2,2,4,2,4,4,4,1,1,1,1,1,4,1,1,1,1,1,1,1,NA,1,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,5,3,0.511206068
66,1,20090429,3,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,1,1,1,2,2,5,2,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,3,7,1.021277087
67,1,20090429,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,NA,1,1,NA,1,1,2,1,4,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,5,7,0.511206068
68,1,20090429,3,2,2,2,1,2,4,4,4,1,1,1,1,1,4,1,1,2,2,1,NA,1,1,4,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,5,2,0.925080444
69,1,20090429,4,2,1,1,3,2,3,3,3,2,1,1,1,1,3,5,1,2,2,1,2,5,3,1,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,2,2,7,1.439584917
70,1,20090429,2,2,2,2,3,4,4,3,3,1,1,1,1,1,3,4,1,1,1,1,2,5,2,2,3,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,2,4,1.481328174
71,1,20090429,1,2,2,2,3,2,3,2,2,2,2,1,1,1,3,2,1,1,1,1,1,5,2,4,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,3,5,1.021277087
72,1,20090429,2,2,2,2,3,3,3,3,3,1,2,1,1,1,3,4,1,2,2,2,2,6,3,1,2,NA,1,4,1,NA,NA,NA,NA,NA,NA,2,2,5,1.439584917
73,1,20090429,1,2,2,2,3,3,3,3,3,1,1,1,1,1,2,2,1,1,1,1,1,5,3,2,2,NA,2,4,2,NA,NA,NA,NA,NA,NA,2,6,1,1.313043773
